k,cell_type_plot,broad_cluster
7,vascular assoc. smooth muscle cell,0
7,vein endothelial cell,0
7,vip GABAergic cortical interneuron,0
7,"CD16+, CD56-dim NK cell",1
7,"CD16-, CD56-bright NK cell",1
7,CD4+ helper T cell,1
7,"CD4+, alpha-beta T cell",1
7,"CD4+, alpha-beta cytotoxic T cell",1
7,"CD4+, alpha-beta mem. T cell",1
7,"CD8+, alpha-beta T cell",1
7,"CD8+, alpha-beta cytotoxic T cell",1
7,"CD8+, alpha-beta mem. T cell",1
7,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
7,NK cell,1
7,T cell,1
7,T follicular helper cell,1
7,T-helper 17 cell,1
7,T-helper 22 cell,1
7,"activated CD4+, alpha-beta T cell",1
7,"activated CD8+, alpha-beta T cell",1
7,alpha-beta T cell,1
7,amacrine cell,1
7,astrocyte of the cerebral cortex,1
7,"central mem. CD4+, alpha-beta T cell",1
7,"central mem. CD8+, alpha-beta T cell",1
7,chandelier pvalb GABAergic cortical interneuron,1
7,double negative T regulatory cell,1
7,"effector CD8+, alpha-beta T cell",1
7,"effector mem. CD4+, alpha-beta T cell",1
7,"effector mem. CD8+, alpha-beta T cell",1
7,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
7,exhausted T cell,1
7,fallopian tube secretory epith. cell,1
7,gamma-delta T cell,1
7,innate lymphoid cell,1
7,intraepithelial lymphocyte,1
7,kidney interstitial fibroblast,1
7,leukocyte,1
7,lymphocyte,1
7,lymphoid lineage restricted progenitor cell,1
7,mature NK T cell,1
7,mature T cell,1
7,mature alpha-beta T cell,1
7,mature gamma-delta T cell,1
7,mem. T cell,1
7,mucosal invariant T cell,1
7,naive T cell,1
7,"naive thym.-der. CD4+, alpha-beta T cell",1
7,"naive thym.-der. CD8+, alpha-beta T cell",1
7,platelet,1
7,regulatory T cell,1
7,renal interstitial pericyte,1
7,sncg GABAergic cortical interneuron,1
7,CD14+ monocyte,2
7,"CD14+, CD16+ monocyte",2
7,"CD14+, CD16- clas. monocyte",2
7,"CD14-low, CD16+ monocyte",2
7,CD1c+ myeloid dendritic cell,2
7,L2/3-6 IT projecting neuron,2
7,alternatively activated macrophage,2
7,alveolar macrophage,2
7,clas. monocyte,2
7,conventional dendritic cell,2
7,dendritic cell,2
7,elicited macrophage,2
7,granulocyte,2
7,inflammatory macrophage,2
7,intermediate monocyte,2
7,lamp5 GABAergic cortical interneuron,2
7,lung macrophage,2
7,macrophage,2
7,microglial cell,2
7,monocyte,2
7,neuron,2
7,neutrophil,2
7,non-classical monocyte,2
7,oligodendrocyte,2
7,oligodendrocyte pre. cell,2
7,plasmacytoid dendritic cell,2
7,promonocyte,2
7,sst GABAergic cortical interneuron,2
7,B cell,3
7,IgA plasma cell,3
7,IgG plasma cell,3
7,class switched mem. B cell,3
7,ependymal cell,3
7,erythroblast,3
7,erythrocyte,3
7,hematopoietic stem cell,3
7,immature B cell,3
7,immature innate lymphoid cell,3
7,mast cell,3
7,mature B cell,3
7,megakaryocyte-erythroid progenitor cell,3
7,mem. B cell,3
7,naive B cell,3
7,plasma cell,3
7,plasmablast,3
7,pre. B cell,3
7,pro-B cell,3
7,transitional stage B cell,3
8,Bergmann glial cell,0
8,L6b glutamatergic cortical neuron,0
8,Schwann cell,0
8,alveolar type 1 fibroblast cell,0
8,alveolar type 2 fibroblast cell,0
8,astrocyte,0
8,basal cell,0
8,basal cell of epithelium of trachea,0
8,blood vessel endothelial cell,0
8,bronchus fibroblast of lung,0
8,capillary endothelial cell,0
8,cardiac muscle cell,0
8,cardiac neuron,0
8,caudal ganglionic eminence der. GABAergic cortical interneuron,0
8,central nervous sys. macrophage,0
8,chandelier pvalb GABAergic cortical interneuron,0
8,ciliated columnar cell of tracheobronchial tree,0
8,club cell,0
8,corticothalamic-project. glutamatergic cortical neuron,0
8,double negative thymocyte,0
8,"double+, alpha-beta thymocyte",0
8,endothelial cell,0
8,endothelial cell of artery,0
8,endothelial cell of lymphatic vessel,0
8,enteric smooth muscle cell,0
8,enterocyte,0
8,enteroendocrine cell,0
8,epith. cell of proximal tubule,0
8,fallopian tube secretory epith. cell,0
8,fibroblast of cardiac tissue,0
8,foveolar cell of stomach,0
8,glutamatergic neuron,0
8,goblet cell,0
8,granulosa cell,0
8,intestine goblet cell,0
8,keratinocyte,0
8,kidney collecting duct intercalated cell,0
8,kidney collecting duct principal cell,0
8,kidney connecting tubule epith. cell,0
8,kidney distal convoluted tubule epith. cell,0
8,kidney loop Henle thick asc. limb epith. cell,0
8,kidney loop Henle thin asc. limb epith. cell,0
8,kidney loop Henle thin des. limb epith. cell,0
8,luminal epith. cell of mammary gland,0
8,lung pericyte,0
8,mesothelial cell,0
8,mucous neck cell,0
8,myoepithelial cell of mammary gland,0
8,nasal mucosa goblet cell,0
8,near-project. glutamatergic cortical neuron,0
8,paneth cell,0
8,pericyte,0
8,pulmonary artery endothelial cell,0
8,pvalb GABAergic cortical interneuron,0
8,respiratory basal cell,0
8,respiratory hillock cell,0
8,retina horizontal cell,0
8,retinal cone cell,0
8,retinal ganglion cell,0
8,retinal rod cell,0
8,smooth muscle cell,0
8,sst GABAergic cortical interneuron,0
8,tracheal goblet cell,0
8,tracheobronchial smooth muscle cell,0
8,type I pneumocyte,0
8,type II pneumocyte,0
8,vascular assoc. smooth muscle cell,0
8,vein endothelial cell,0
8,vip GABAergic cortical interneuron,0
8,"CD16+, CD56-dim NK cell",1
8,"CD16-, CD56-bright NK cell",1
8,CD4+ helper T cell,1
8,"CD4+, alpha-beta T cell",1
8,"CD4+, alpha-beta cytotoxic T cell",1
8,"CD4+, alpha-beta mem. T cell",1
8,"CD8+, alpha-beta T cell",1
8,"CD8+, alpha-beta cytotoxic T cell",1
8,"CD8+, alpha-beta mem. T cell",1
8,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
8,NK cell,1
8,T cell,1
8,T follicular helper cell,1
8,T-helper 17 cell,1
8,T-helper 22 cell,1
8,"activated CD4+, alpha-beta T cell",1
8,"activated CD8+, alpha-beta T cell",1
8,alpha-beta T cell,1
8,amacrine cell,1
8,astrocyte of the cerebral cortex,1
8,"central mem. CD4+, alpha-beta T cell",1
8,"central mem. CD8+, alpha-beta T cell",1
8,double negative T regulatory cell,1
8,"effector CD8+, alpha-beta T cell",1
8,"effector mem. CD4+, alpha-beta T cell",1
8,"effector mem. CD8+, alpha-beta T cell",1
8,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
8,exhausted T cell,1
8,gamma-delta T cell,1
8,innate lymphoid cell,1
8,intraepithelial lymphocyte,1
8,kidney interstitial fibroblast,1
8,leukocyte,1
8,lymphocyte,1
8,lymphoid lineage restricted progenitor cell,1
8,mature NK T cell,1
8,mature T cell,1
8,mature alpha-beta T cell,1
8,mature gamma-delta T cell,1
8,mem. T cell,1
8,mucosal invariant T cell,1
8,naive T cell,1
8,"naive thym.-der. CD4+, alpha-beta T cell",1
8,"naive thym.-der. CD8+, alpha-beta T cell",1
8,platelet,1
8,regulatory T cell,1
8,renal interstitial pericyte,1
8,sncg GABAergic cortical interneuron,1
8,CD14+ monocyte,2
8,"CD14+, CD16+ monocyte",2
8,"CD14+, CD16- clas. monocyte",2
8,"CD14-low, CD16+ monocyte",2
8,CD1c+ myeloid dendritic cell,2
8,L2/3-6 IT projecting neuron,2
8,alternatively activated macrophage,2
8,alveolar macrophage,2
8,clas. monocyte,2
8,conventional dendritic cell,2
8,dendritic cell,2
8,elicited macrophage,2
8,granulocyte,2
8,inflammatory macrophage,2
8,intermediate monocyte,2
8,lamp5 GABAergic cortical interneuron,2
8,lung macrophage,2
8,macrophage,2
8,microglial cell,2
8,monocyte,2
8,neuron,2
8,neutrophil,2
8,non-classical monocyte,2
8,oligodendrocyte,2
8,oligodendrocyte pre. cell,2
8,plasmacytoid dendritic cell,2
8,promonocyte,2
8,B cell,3
8,IgA plasma cell,3
8,IgG plasma cell,3
8,class switched mem. B cell,3
8,ependymal cell,3
8,erythroblast,3
8,erythrocyte,3
8,hematopoietic stem cell,3
8,immature B cell,3
8,immature innate lymphoid cell,3
8,mast cell,3
8,mature B cell,3
8,megakaryocyte-erythroid progenitor cell,3
8,mem. B cell,3
8,naive B cell,3
8,plasma cell,3
8,plasmablast,3
8,pre. B cell,3
8,pro-B cell,3
8,transitional stage B cell,3
9,Bergmann glial cell,0
9,L6b glutamatergic cortical neuron,0
9,Schwann cell,0
9,alveolar type 1 fibroblast cell,0
9,alveolar type 2 fibroblast cell,0
9,astrocyte,0
9,basal cell,0
9,basal cell of epithelium of trachea,0
9,blood vessel endothelial cell,0
9,bronchus fibroblast of lung,0
9,capillary endothelial cell,0
9,cardiac muscle cell,0
9,cardiac neuron,0
9,caudal ganglionic eminence der. GABAergic cortical interneuron,0
9,central nervous sys. macrophage,0
9,chandelier pvalb GABAergic cortical interneuron,0
9,ciliated columnar cell of tracheobronchial tree,0
9,club cell,0
9,corticothalamic-project. glutamatergic cortical neuron,0
9,double negative thymocyte,0
9,"double+, alpha-beta thymocyte",0
9,endothelial cell,0
9,endothelial cell of artery,0
9,endothelial cell of lymphatic vessel,0
9,enteric smooth muscle cell,0
9,enterocyte,0
9,enteroendocrine cell,0
9,epith. cell of proximal tubule,0
9,fibroblast of cardiac tissue,0
9,foveolar cell of stomach,0
9,glutamatergic neuron,0
9,goblet cell,0
9,granulosa cell,0
9,intestine goblet cell,0
9,keratinocyte,0
9,kidney collecting duct intercalated cell,0
9,kidney collecting duct principal cell,0
9,kidney connecting tubule epith. cell,0
9,kidney distal convoluted tubule epith. cell,0
9,kidney loop Henle thick asc. limb epith. cell,0
9,kidney loop Henle thin asc. limb epith. cell,0
9,kidney loop Henle thin des. limb epith. cell,0
9,lamp5 GABAergic cortical interneuron,0
9,luminal epith. cell of mammary gland,0
9,lung pericyte,0
9,mesothelial cell,0
9,mucous neck cell,0
9,myoepithelial cell of mammary gland,0
9,nasal mucosa goblet cell,0
9,near-project. glutamatergic cortical neuron,0
9,oligodendrocyte,0
9,paneth cell,0
9,pericyte,0
9,pulmonary artery endothelial cell,0
9,pvalb GABAergic cortical interneuron,0
9,respiratory basal cell,0
9,respiratory hillock cell,0
9,retina horizontal cell,0
9,retinal cone cell,0
9,retinal ganglion cell,0
9,retinal rod cell,0
9,smooth muscle cell,0
9,tracheal goblet cell,0
9,tracheobronchial smooth muscle cell,0
9,type I pneumocyte,0
9,type II pneumocyte,0
9,vascular assoc. smooth muscle cell,0
9,vein endothelial cell,0
9,vip GABAergic cortical interneuron,0
9,"CD16+, CD56-dim NK cell",1
9,"CD16-, CD56-bright NK cell",1
9,CD4+ helper T cell,1
9,"CD4+, alpha-beta T cell",1
9,"CD4+, alpha-beta cytotoxic T cell",1
9,"CD4+, alpha-beta mem. T cell",1
9,"CD8+, alpha-beta T cell",1
9,"CD8+, alpha-beta cytotoxic T cell",1
9,"CD8+, alpha-beta mem. T cell",1
9,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
9,NK cell,1
9,T cell,1
9,T follicular helper cell,1
9,T-helper 17 cell,1
9,T-helper 22 cell,1
9,"activated CD4+, alpha-beta T cell",1
9,"activated CD8+, alpha-beta T cell",1
9,alpha-beta T cell,1
9,amacrine cell,1
9,astrocyte of the cerebral cortex,1
9,"central mem. CD4+, alpha-beta T cell",1
9,"central mem. CD8+, alpha-beta T cell",1
9,double negative T regulatory cell,1
9,"effector CD8+, alpha-beta T cell",1
9,"effector mem. CD4+, alpha-beta T cell",1
9,"effector mem. CD8+, alpha-beta T cell",1
9,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
9,exhausted T cell,1
9,gamma-delta T cell,1
9,innate lymphoid cell,1
9,intraepithelial lymphocyte,1
9,kidney interstitial fibroblast,1
9,leukocyte,1
9,lymphocyte,1
9,lymphoid lineage restricted progenitor cell,1
9,mature NK T cell,1
9,mature T cell,1
9,mature alpha-beta T cell,1
9,mature gamma-delta T cell,1
9,mem. T cell,1
9,mucosal invariant T cell,1
9,naive T cell,1
9,"naive thym.-der. CD4+, alpha-beta T cell",1
9,"naive thym.-der. CD8+, alpha-beta T cell",1
9,platelet,1
9,regulatory T cell,1
9,renal interstitial pericyte,1
9,sncg GABAergic cortical interneuron,1
9,CD14+ monocyte,2
9,"CD14+, CD16+ monocyte",2
9,"CD14+, CD16- clas. monocyte",2
9,"CD14-low, CD16+ monocyte",2
9,CD1c+ myeloid dendritic cell,2
9,L2/3-6 IT projecting neuron,2
9,alternatively activated macrophage,2
9,alveolar macrophage,2
9,clas. monocyte,2
9,conventional dendritic cell,2
9,dendritic cell,2
9,elicited macrophage,2
9,fallopian tube secretory epith. cell,2
9,granulocyte,2
9,inflammatory macrophage,2
9,intermediate monocyte,2
9,lung macrophage,2
9,macrophage,2
9,microglial cell,2
9,monocyte,2
9,neuron,2
9,neutrophil,2
9,non-classical monocyte,2
9,oligodendrocyte pre. cell,2
9,plasmacytoid dendritic cell,2
9,promonocyte,2
9,sst GABAergic cortical interneuron,2
9,B cell,3
9,IgA plasma cell,3
9,IgG plasma cell,3
9,class switched mem. B cell,3
9,ependymal cell,3
9,erythroblast,3
9,erythrocyte,3
9,hematopoietic stem cell,3
9,immature B cell,3
9,immature innate lymphoid cell,3
9,mast cell,3
9,mature B cell,3
9,megakaryocyte-erythroid progenitor cell,3
9,mem. B cell,3
9,naive B cell,3
9,plasma cell,3
9,plasmablast,3
9,pre. B cell,3
9,pro-B cell,3
9,transitional stage B cell,3
10,Bergmann glial cell,0
10,L6b glutamatergic cortical neuron,0
10,Schwann cell,0
10,alveolar type 1 fibroblast cell,0
10,alveolar type 2 fibroblast cell,0
10,astrocyte,0
10,basal cell,0
10,basal cell of epithelium of trachea,0
10,blood vessel endothelial cell,0
10,bronchus fibroblast of lung,0
10,capillary endothelial cell,0
10,cardiac muscle cell,0
10,cardiac neuron,0
10,caudal ganglionic eminence der. GABAergic cortical interneuron,0
10,central nervous sys. macrophage,0
10,chandelier pvalb GABAergic cortical interneuron,0
10,ciliated columnar cell of tracheobronchial tree,0
10,club cell,0
10,corticothalamic-project. glutamatergic cortical neuron,0
10,double negative thymocyte,0
10,"double+, alpha-beta thymocyte",0
10,endothelial cell,0
10,endothelial cell of artery,0
10,endothelial cell of lymphatic vessel,0
10,enteric smooth muscle cell,0
10,enterocyte,0
10,enteroendocrine cell,0
10,epith. cell of proximal tubule,0
10,fibroblast of cardiac tissue,0
10,foveolar cell of stomach,0
10,glutamatergic neuron,0
10,goblet cell,0
10,granulosa cell,0
10,intestine goblet cell,0
10,keratinocyte,0
10,kidney collecting duct intercalated cell,0
10,kidney collecting duct principal cell,0
10,kidney connecting tubule epith. cell,0
10,kidney distal convoluted tubule epith. cell,0
10,kidney loop Henle thick asc. limb epith. cell,0
10,kidney loop Henle thin asc. limb epith. cell,0
10,kidney loop Henle thin des. limb epith. cell,0
10,lamp5 GABAergic cortical interneuron,0
10,luminal epith. cell of mammary gland,0
10,lung pericyte,0
10,mesothelial cell,0
10,mucous neck cell,0
10,myoepithelial cell of mammary gland,0
10,nasal mucosa goblet cell,0
10,near-project. glutamatergic cortical neuron,0
10,oligodendrocyte,0
10,paneth cell,0
10,pericyte,0
10,pulmonary artery endothelial cell,0
10,pvalb GABAergic cortical interneuron,0
10,respiratory basal cell,0
10,respiratory hillock cell,0
10,retina horizontal cell,0
10,retinal cone cell,0
10,retinal ganglion cell,0
10,retinal rod cell,0
10,smooth muscle cell,0
10,tracheal goblet cell,0
10,tracheobronchial smooth muscle cell,0
10,type I pneumocyte,0
10,type II pneumocyte,0
10,vascular assoc. smooth muscle cell,0
10,vein endothelial cell,0
10,vip GABAergic cortical interneuron,0
10,"CD16+, CD56-dim NK cell",1
10,"CD16-, CD56-bright NK cell",1
10,CD4+ helper T cell,1
10,"CD4+, alpha-beta T cell",1
10,"CD4+, alpha-beta cytotoxic T cell",1
10,"CD4+, alpha-beta mem. T cell",1
10,"CD8+, alpha-beta T cell",1
10,"CD8+, alpha-beta cytotoxic T cell",1
10,"CD8+, alpha-beta mem. T cell",1
10,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
10,NK cell,1
10,T cell,1
10,T follicular helper cell,1
10,T-helper 17 cell,1
10,T-helper 22 cell,1
10,"activated CD4+, alpha-beta T cell",1
10,"activated CD8+, alpha-beta T cell",1
10,alpha-beta T cell,1
10,amacrine cell,1
10,astrocyte of the cerebral cortex,1
10,"central mem. CD4+, alpha-beta T cell",1
10,"central mem. CD8+, alpha-beta T cell",1
10,double negative T regulatory cell,1
10,"effector CD8+, alpha-beta T cell",1
10,"effector mem. CD4+, alpha-beta T cell",1
10,"effector mem. CD8+, alpha-beta T cell",1
10,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
10,exhausted T cell,1
10,gamma-delta T cell,1
10,innate lymphoid cell,1
10,intraepithelial lymphocyte,1
10,kidney interstitial fibroblast,1
10,leukocyte,1
10,lymphocyte,1
10,lymphoid lineage restricted progenitor cell,1
10,mature NK T cell,1
10,mature T cell,1
10,mature alpha-beta T cell,1
10,mature gamma-delta T cell,1
10,mem. T cell,1
10,mucosal invariant T cell,1
10,naive T cell,1
10,"naive thym.-der. CD4+, alpha-beta T cell",1
10,"naive thym.-der. CD8+, alpha-beta T cell",1
10,platelet,1
10,regulatory T cell,1
10,renal interstitial pericyte,1
10,sncg GABAergic cortical interneuron,1
10,CD14+ monocyte,2
10,"CD14+, CD16+ monocyte",2
10,"CD14+, CD16- clas. monocyte",2
10,"CD14-low, CD16+ monocyte",2
10,CD1c+ myeloid dendritic cell,2
10,L2/3-6 IT projecting neuron,2
10,alternatively activated macrophage,2
10,alveolar macrophage,2
10,clas. monocyte,2
10,conventional dendritic cell,2
10,dendritic cell,2
10,elicited macrophage,2
10,fallopian tube secretory epith. cell,2
10,granulocyte,2
10,inflammatory macrophage,2
10,intermediate monocyte,2
10,lung macrophage,2
10,macrophage,2
10,microglial cell,2
10,monocyte,2
10,neuron,2
10,neutrophil,2
10,non-classical monocyte,2
10,oligodendrocyte pre. cell,2
10,plasmacytoid dendritic cell,2
10,promonocyte,2
10,sst GABAergic cortical interneuron,2
10,B cell,3
10,IgA plasma cell,3
10,IgG plasma cell,3
10,class switched mem. B cell,3
10,ependymal cell,3
10,erythroblast,3
10,erythrocyte,3
10,hematopoietic stem cell,3
10,immature B cell,3
10,immature innate lymphoid cell,3
10,mast cell,3
10,mature B cell,3
10,megakaryocyte-erythroid progenitor cell,3
10,mem. B cell,3
10,naive B cell,3
10,plasma cell,3
10,plasmablast,3
10,pre. B cell,3
10,pro-B cell,3
10,transitional stage B cell,3
15,Bergmann glial cell,0
15,CD14+ monocyte,0
15,"CD14+, CD16+ monocyte",0
15,"CD14+, CD16- clas. monocyte",0
15,"CD14-low, CD16+ monocyte",0
15,CD1c+ myeloid dendritic cell,0
15,L6b glutamatergic cortical neuron,0
15,Schwann cell,0
15,alternatively activated macrophage,0
15,alveolar macrophage,0
15,alveolar type 1 fibroblast cell,0
15,alveolar type 2 fibroblast cell,0
15,astrocyte,0
15,basal cell,0
15,basal cell of epithelium of trachea,0
15,blood vessel endothelial cell,0
15,bronchus fibroblast of lung,0
15,capillary endothelial cell,0
15,cardiac muscle cell,0
15,cardiac neuron,0
15,caudal ganglionic eminence der. GABAergic cortical interneuron,0
15,central nervous sys. macrophage,0
15,chandelier pvalb GABAergic cortical interneuron,0
15,ciliated columnar cell of tracheobronchial tree,0
15,clas. monocyte,0
15,club cell,0
15,conventional dendritic cell,0
15,corticothalamic-project. glutamatergic cortical neuron,0
15,dendritic cell,0
15,double negative thymocyte,0
15,"double+, alpha-beta thymocyte",0
15,elicited macrophage,0
15,endothelial cell,0
15,endothelial cell of artery,0
15,endothelial cell of lymphatic vessel,0
15,enteric smooth muscle cell,0
15,enterocyte,0
15,enteroendocrine cell,0
15,ependymal cell,0
15,epith. cell of proximal tubule,0
15,fallopian tube secretory epith. cell,0
15,fibroblast of cardiac tissue,0
15,foveolar cell of stomach,0
15,glutamatergic neuron,0
15,goblet cell,0
15,granulocyte,0
15,granulosa cell,0
15,inflammatory macrophage,0
15,intermediate monocyte,0
15,intestine goblet cell,0
15,keratinocyte,0
15,kidney collecting duct intercalated cell,0
15,kidney collecting duct principal cell,0
15,kidney connecting tubule epith. cell,0
15,kidney distal convoluted tubule epith. cell,0
15,kidney interstitial fibroblast,0
15,kidney loop Henle thick asc. limb epith. cell,0
15,kidney loop Henle thin asc. limb epith. cell,0
15,kidney loop Henle thin des. limb epith. cell,0
15,lamp5 GABAergic cortical interneuron,0
15,luminal epith. cell of mammary gland,0
15,lung macrophage,0
15,lung pericyte,0
15,macrophage,0
15,mesothelial cell,0
15,microglial cell,0
15,monocyte,0
15,mucous neck cell,0
15,myoepithelial cell of mammary gland,0
15,nasal mucosa goblet cell,0
15,near-project. glutamatergic cortical neuron,0
15,neuron,0
15,neutrophil,0
15,non-classical monocyte,0
15,oligodendrocyte,0
15,oligodendrocyte pre. cell,0
15,paneth cell,0
15,pericyte,0
15,plasmacytoid dendritic cell,0
15,promonocyte,0
15,pulmonary artery endothelial cell,0
15,pvalb GABAergic cortical interneuron,0
15,respiratory basal cell,0
15,respiratory hillock cell,0
15,retina horizontal cell,0
15,retinal cone cell,0
15,retinal ganglion cell,0
15,retinal rod cell,0
15,smooth muscle cell,0
15,sst GABAergic cortical interneuron,0
15,tracheal goblet cell,0
15,tracheobronchial smooth muscle cell,0
15,type I pneumocyte,0
15,type II pneumocyte,0
15,vascular assoc. smooth muscle cell,0
15,vein endothelial cell,0
15,vip GABAergic cortical interneuron,0
15,"CD16+, CD56-dim NK cell",1
15,"CD16-, CD56-bright NK cell",1
15,CD4+ helper T cell,1
15,"CD4+, alpha-beta T cell",1
15,"CD4+, alpha-beta cytotoxic T cell",1
15,"CD4+, alpha-beta mem. T cell",1
15,"CD8+, alpha-beta T cell",1
15,"CD8+, alpha-beta cytotoxic T cell",1
15,"CD8+, alpha-beta mem. T cell",1
15,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
15,L2/3-6 IT projecting neuron,1
15,NK cell,1
15,T cell,1
15,T follicular helper cell,1
15,T-helper 17 cell,1
15,T-helper 22 cell,1
15,"activated CD4+, alpha-beta T cell",1
15,"activated CD8+, alpha-beta T cell",1
15,alpha-beta T cell,1
15,amacrine cell,1
15,astrocyte of the cerebral cortex,1
15,"central mem. CD4+, alpha-beta T cell",1
15,"central mem. CD8+, alpha-beta T cell",1
15,double negative T regulatory cell,1
15,"effector CD8+, alpha-beta T cell",1
15,"effector mem. CD4+, alpha-beta T cell",1
15,"effector mem. CD8+, alpha-beta T cell",1
15,"effector mem. CD8+, alpha-beta T cell, term. diff.",1
15,exhausted T cell,1
15,gamma-delta T cell,1
15,innate lymphoid cell,1
15,intraepithelial lymphocyte,1
15,leukocyte,1
15,lymphocyte,1
15,lymphoid lineage restricted progenitor cell,1
15,mature NK T cell,1
15,mature T cell,1
15,mature alpha-beta T cell,1
15,mature gamma-delta T cell,1
15,mem. T cell,1
15,mucosal invariant T cell,1
15,naive T cell,1
15,"naive thym.-der. CD4+, alpha-beta T cell",1
15,"naive thym.-der. CD8+, alpha-beta T cell",1
15,platelet,1
15,regulatory T cell,1
15,renal interstitial pericyte,1
15,sncg GABAergic cortical interneuron,1
15,B cell,2
15,IgA plasma cell,2
15,IgG plasma cell,2
15,class switched mem. B cell,2
15,erythroblast,2
15,erythrocyte,2
15,hematopoietic stem cell,2
15,immature B cell,2
15,immature innate lymphoid cell,2
15,mast cell,2
15,mature B cell,2
15,megakaryocyte-erythroid progenitor cell,2
15,mem. B cell,2
15,naive B cell,2
15,plasma cell,2
15,plasmablast,2
15,pre. B cell,2
15,pro-B cell,2
15,transitional stage B cell,2
20,Bergmann glial cell,0
20,CD14+ monocyte,0
20,"CD14+, CD16+ monocyte",0
20,"CD14+, CD16- clas. monocyte",0
20,"CD14-low, CD16+ monocyte",0
20,CD1c+ myeloid dendritic cell,0
20,L6b glutamatergic cortical neuron,0
20,Schwann cell,0
20,alternatively activated macrophage,0
20,alveolar macrophage,0
20,alveolar type 1 fibroblast cell,0
20,alveolar type 2 fibroblast cell,0
20,astrocyte,0
20,basal cell,0
20,basal cell of epithelium of trachea,0
20,blood vessel endothelial cell,0
20,bronchus fibroblast of lung,0
20,capillary endothelial cell,0
20,cardiac muscle cell,0
20,cardiac neuron,0
20,caudal ganglionic eminence der. GABAergic cortical interneuron,0
20,central nervous sys. macrophage,0
20,chandelier pvalb GABAergic cortical interneuron,0
20,ciliated columnar cell of tracheobronchial tree,0
20,clas. monocyte,0
20,club cell,0
20,conventional dendritic cell,0
20,corticothalamic-project. glutamatergic cortical neuron,0
20,dendritic cell,0
20,double negative thymocyte,0
20,"double+, alpha-beta thymocyte",0
20,elicited macrophage,0
20,endothelial cell,0
20,endothelial cell of artery,0
20,endothelial cell of lymphatic vessel,0
20,enteric smooth muscle cell,0
20,enterocyte,0
20,enteroendocrine cell,0
20,epith. cell of proximal tubule,0
20,fallopian tube secretory epith. cell,0
20,fibroblast of cardiac tissue,0
20,foveolar cell of stomach,0
20,glutamatergic neuron,0
20,goblet cell,0
20,granulocyte,0
20,granulosa cell,0
20,inflammatory macrophage,0
20,intermediate monocyte,0
20,intestine goblet cell,0
20,keratinocyte,0
20,kidney collecting duct intercalated cell,0
20,kidney collecting duct principal cell,0
20,kidney connecting tubule epith. cell,0
20,kidney distal convoluted tubule epith. cell,0
20,kidney interstitial fibroblast,0
20,kidney loop Henle thick asc. limb epith. cell,0
20,kidney loop Henle thin asc. limb epith. cell,0
20,kidney loop Henle thin des. limb epith. cell,0
20,lamp5 GABAergic cortical interneuron,0
20,luminal epith. cell of mammary gland,0
20,lung macrophage,0
20,lung pericyte,0
20,macrophage,0
20,mesothelial cell,0
20,microglial cell,0
20,monocyte,0
20,mucous neck cell,0
20,myoepithelial cell of mammary gland,0
20,nasal mucosa goblet cell,0
20,near-project. glutamatergic cortical neuron,0
20,neuron,0
20,non-classical monocyte,0
20,oligodendrocyte,0
20,oligodendrocyte pre. cell,0
20,paneth cell,0
20,pericyte,0
20,plasmacytoid dendritic cell,0
20,promonocyte,0
20,pulmonary artery endothelial cell,0
20,pvalb GABAergic cortical interneuron,0
20,respiratory basal cell,0
20,respiratory hillock cell,0
20,retina horizontal cell,0
20,retinal cone cell,0
20,retinal ganglion cell,0
20,retinal rod cell,0
20,smooth muscle cell,0
20,sst GABAergic cortical interneuron,0
20,tracheal goblet cell,0
20,tracheobronchial smooth muscle cell,0
20,type I pneumocyte,0
20,type II pneumocyte,0
20,vascular assoc. smooth muscle cell,0
20,vein endothelial cell,0
20,vip GABAergic cortical interneuron,0
20,B cell,1
20,"CD16+, CD56-dim NK cell",1
20,"CD16-, CD56-bright NK cell",1
20,CD4+ helper T cell,1
20,"CD4+, alpha-beta T cell",1
20,"CD4+, alpha-beta cytotoxic T cell",1
20,"CD4+, alpha-beta mem. T cell",1
20,"CD8+, alpha-beta T cell",1
20,"CD8+, alpha-beta cytotoxic T cell",1
20,"CD8+, alpha-beta mem. T cell",1
20,"CD8-alpha-alpha+, lpha-eta intraepith. T cell",1
20,IgA plasma cell,1
20,IgG plasma cell,1
20,L2/3-6 IT projecting neuron,1
20,NK cell,1
20,T cell,1
20,T follicular helper cell,1
20,T-helper 17 cell,1
20,T-helper 22 cell,1
20,"activated CD4+, alpha-beta T cell",1
20,"activated CD8+, alpha-beta T cell",1
20,alpha-beta T cell,1
20,amacrine cell,1
20,astrocyte of the cerebral cortex,1
20,"central mem. CD4+, alpha-beta T cell",1
20,"central mem. CD8+, alpha-beta T cell",1
20,class switched mem. B cell,1
20,double negative T regulatory cell,1
20,"effector CD8+, alpha-beta T cell",1
